ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID 2 Digit Course,2 Digit Course,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation
"113051","Industrial production managers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2976,1339.3270284971684,95764.18581989247,26239.44988928015,1.06094282439609,27,"industrial-production-managers"
"533041","Taxi drivers & chauffeurs",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2972,1338.4271027640937,38676.835127860024,15596.91935235676,0.6125387446875545,24,"taxi-drivers-chauffeurs"
"499071","Maintenance & repair workers, general",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2972,1338.4266594853138,61632.141655450876,12929.50563781768,0.4641036773582293,25,"maintenance-repair-workers-general"
"119021","Construction managers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2961,1335.9483307866674,88780.62310030396,24898.084535389524,0.3494815798251578,23,"construction-managers"
"172141","Mechanical engineers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2956,1334.8195494275053,92336.78315290934,18694.02638869634,0.8400115673861905,30,"mechanical-engineers"
"492020","Radio & telecommunications equipment installers & repairers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2931,1329.163512557026,65180.262708973045,17685.328514620298,1.2777144926022537,21,"radio-telecommunications-equipment-installers-repairers"
"439061","Office clerks, general",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2924,1327.5745985944955,30612.52804377565,12285.16572706365,0.19813306980814538,32,"office-clerks-general"
"472061","Construction laborers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2909,1324.1657269088412,39635.68992781024,11452.896160092316,0.1418062289205594,24,"construction-laborers"
"311010","Nursing, psychiatric, & home health aides",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2905,1323.2546480825092,30378.343545611016,9208.190391562479,0.11615883877690825,26,"nursing-psychiatric-home-health-aides"
"532010","Aircraft pilots & flight engineers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2897,1321.4317809839383,187347.59475319297,66306.01597165198,1.316744130398797,28,"aircraft-pilots-flight-engineers"
"419031","Sales engineers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2886,1318.9204790671592,174787.1923076923,44366.863754182865,5.945490914394947,30,"sales-engineers"
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2880,1317.5489791166622,78832.15416666666,17021.897666466255,3.048042704238638,28,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians"
"211010","Counselors",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2877,1316.8619629892612,55012.79249217935,15942.193973176109,0.35198157286335746,30,"counselors"
"413031","Securities, commodities, & financial services sales agents",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2876,1316.6335094839228,194613.83727399167,83617.73773227973,1.0617643564154653,30,"securities-commodities-financial-services-sales-agents"
"212011","Clergy",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2858,1312.5072765053906,49587.44821553534,17908.999655403368,0.47994081712295644,35,"clergy"
"434171","Receptionists & information clerks",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2857,1312.276868286095,27152.78753937697,10452.422578736947,0.21251930945651926,25,"receptionists-information-clerks"
"113051","Industrial production managers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2848,1310.2085784622545,100029.71734550562,14578.897274190995,0.9658563862185203,29,"industrial-production-managers"
"439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2837,1307.676460217633,50252.433204088826,13976.693107671363,0.4042525402994996,29,"miscellaneous-office-administrative-support-workers-including-desktop-publishers"
"559830","Military, rank not specified",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2834,1306.9843589236355,58963.39167254764,9651.049896517598,0.9544071032099904,19,"military-rank-not-specified"
"439041","Insurance claims & policy processing clerks",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2804,1300.0485624815187,36890.80206847361,8692.194697320787,0.5684220831211887,21,"insurance-claims-policy-processing-clerks"
"472111","Electricians",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2798,1298.6571189566666,49467.52466047177,14357.994286824942,0.2578624082850836,19,"electricians"
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2798,1298.6567491860665,126589.04074338813,39773.21507135395,4.333645839237315,23,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians"
"435061","Production, planning, & expediting clerks",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2794,1297.7286761335401,70306.54008589835,17425.459218672357,0.561185015675805,30,"production-planning-expediting-clerks"
"211020","Social workers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2782,1294.9387645087374,46052.209561466574,11104.830123594258,0.23758007023313008,32,"social-workers"
"119151","Social & community service managers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2780,1294.4726233231559,65472.90143884892,18361.11372077037,0.6940595606116824,28,"social-community-service-managers"
"37201X","Janitors & building cleaners",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2776,1293.5410311929973,34849.947406340056,33563.01222814575,0.0955382028338925,21,"janitors-building-cleaners"
"131030","Claims adjusters, appraisers, examiners, & investigators",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2754,1288.4052330647032,59778.659041394334,10082.340100018806,0.8221861610831427,23,"claims-adjusters-appraisers-examiners-investigators"
"212011","Clergy",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2745,1286.2988986817788,52306.689617486336,32146.245771121616,0.474259269807844,36,"clergy"
"271010","Artists & related workers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2743,1285.8300340312173,76968.84943492526,20369.252960265745,1.6405490218807708,20,"artists-related-workers"
"519151","Photographic process workers & processing machine operators",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2736,1284.1885198132522,74236.6461988304,10788.700827182387,7.690189827567931,18,"photographic-process-workers-processing-machine-operators"
"511011","Firstline supervisors of production & operating workers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2734,1283.719217730039,80025.91770299927,19188.426711249882,0.22136735566323715,30,"firstline-supervisors-of-production-operating-workers"
"499071","Maintenance & repair workers, general",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2728,1282.3098532273234,57835.39809384164,12331.948086481898,0.35871775988417576,24,"maintenance-repair-workers-general"
"211010","Counselors",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2698,1275.2395258956096,45171.365455893254,11237.847932598279,0.2509086600861149,30,"counselors"
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2684,1271.9264706794186,89059.0674366617,21033.247298218295,3.273989746579271,29,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians"
"172011","Aerospace engineers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2667,1267.8920631413318,122973.71428571429,18026.590052449726,1.6325747508900177,30,"aerospace-engineers"
"232011","Paralegals & legal assistants",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2665,1267.4164217144307,59192.24840525328,8116.654393050918,0.5452886774399637,20,"paralegals-legal-assistants"
"5191XX","Miscellaneous production workers, including semiconductor processors",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2648,1263.3679534075675,55132.33043806646,14965.338976821364,0.15494043820255998,26,"miscellaneous-production-workers-including-semiconductor-processors"
"5191XX","Miscellaneous production workers, including semiconductor processors",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2642,1261.9355199450315,74099.56207418622,48122.19476374233,0.16686354654545585,22,"miscellaneous-production-workers-including-semiconductor-processors"
"212011","Clergy",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",2638,1260.979675378565,41372.032221379835,16092.260217509194,0.539943130652887,33,"clergy"
"131030","Claims adjusters, appraisers, examiners, & investigators",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2629,1258.8273990178834,67199.87523773298,15225.597547186655,0.59672021468955,29,"claims-adjusters-appraisers-examiners-investigators"
"292030","Diagnostic related technologists & technicians",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2614,1255.2311481957918,66318.67980107115,15003.976723892356,0.5094799478090613,24,"diagnostic-related-technologists-technicians"
"132070","Credit counselors & loan officers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2592,1249.9377539804595,83867.70717592593,30571.26624429916,0.6324925609607156,23,"credit-counselors-loan-officers"
"131041","Compliance officers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2588,1248.9729406402637,82074.62326120556,25375.77591132628,0.8155346936597124,25,"compliance-officers"
"434171","Receptionists & information clerks",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",2586,1248.4901005679399,38921.52513534416,7797.180519704001,0.17796323622830607,25,"receptionists-information-clerks"
"132070","Credit counselors & loan officers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2586,1248.4904291193059,98775.0618716164,44705.58440284203,0.6177991005684402,24,"credit-counselors-loan-officers"
"113051","Industrial production managers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2572,1245.106210581419,103217.44129082427,16224.394717345023,0.8568626101855698,25,"industrial-production-managers"
"5191XX","Miscellaneous production workers, including semiconductor processors",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",2566,1243.6530870875881,38634.56157443492,14427.935678049058,0.16454981050225476,19,"miscellaneous-production-workers-including-semiconductor-processors"
