ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2014,"2014","6111","Elementary & secondary schools","true","true",70397,52991.92846286063,3307.0923843106957,6512.4328875640185,731,"Engineering","14"
2014,"2014","5415","Computer Systems Design","true","true",268743,109669.89969227105,3598.9196457628127,12715.35713439411,2580,"Engineering","14"
2014,"2014","5413","Architectural, engineering & related services","true","true",367934,98302.88089168166,2730.721682692347,14872.762810760312,3667,"Engineering","14"
2014,"2014","23","Construction","true","true",206809,89936.56513014424,4035.560347514846,11156.818252841555,2021,"Engineering","14"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",74851,57396.76365045223,3883.500058536189,6715.187091372672,721,"Computer and Information Sciences and Support Services","11"
2014,"2014","6111","Elementary & secondary schools","true","true",48836,52010.36503808666,4679.258090240688,5424.622073621435,521,"Computer and Information Sciences and Support Services","11"
2014,"2014","5415","Computer Systems Design","true","true",334379,97921.71032869887,2830.165513856876,14180.059617875526,3103,"Computer and Information Sciences and Support Services","11"
2014,"2014","5413","Architectural, engineering & related services","true","true",28752,93755.57613383417,8251.161630213408,4162.597803025438,298,"Computer and Information Sciences and Support Services","11"
2014,"2014","23","Construction","true","true",22893,75677.67413619884,11586.010963209432,3714.418303252209,211,"Computer and Information Sciences and Support Services","11"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",16384,54896.235778808594,10993.799573087741,3142.3855133528627,159,"Architecture and Related Services","04"
2014,"2014","6111","Elementary & secondary schools","true","true",10004,56118.640843662535,9385.252331103797,2455.535257299436,106,"Architecture and Related Services","04"
2014,"2014","5415","Computer Systems Design","true","true",4598,117777.54958677686,35944.341014239246,1664.761992959578,50,"Architecture and Related Services","04"
2014,"2014","23","Construction","true","true",30810,74967.035248296,7769.886776676877,4308.966284894289,276,"Architecture and Related Services","04"
